,effective_capacity_MW_end
37566,99.01643203634919
37617,96.22005719153864
37668,73.43166614539209
37719,90.56480506575903
37770,60.714941024795465
37821,41.30971924977057
37872,99.01643203634919
37923,80.80949003597455
37974,42.513595001675235
38025,99.01643203634919
38076,99.01643203634919
38127,93.58482575672818
38178,99.01643203634919
38229,93.24612744963173
38280,67.18922933530249
38331,99.01643203634919
38382,75.213381568707
38433,67.87145815314706
38484,89.76822013196131
38535,94.93076349673662
38586,74.42756751425217
38637,32.25602358368889
38688,99.01643203634919
38739,99.01643203634919
38790,95.1327439995821
38841,58.26985851599901
38892,57.042903830249436
38943,71.16955302724128
38994,96.38191917876796
39045,52.518383977362475
39096,87.67470143100769
39147,42.08703824741614
39198,99.01643203634919
39249,99.01643203634919
39300,99.01643203634919
39351,66.50982043355069
39402,33.88611015945943
39453,99.01643203634919
39504,83.23484581299853
39555,99.01643203634919
39606,99.01643203634919
39657,99.01643203634919
39708,94.78475414616395
39759,98.6227242942423
39810,99.01643203634919
39861,77.45090242582562
39912,99.01643203634919
39963,93.04061696147153
40014,99.01643203634919
40065,99.01643203634919
40116,43.826418701169146
40167,99.01643203634919
40218,56.87596577558783
40269,84.34551528890252
40320,93.34082943921973
40371,95.31109571036433
40422,99.01643203634919
40473,99.01643203634919
40524,43.9367847041117
40575,99.01643203634919
40626,76.07770668233312
40677,58.4589747197949
40728,99.01643203634919
40779,36.672041833317145
40830,62.754513252553565
40881,86.52612927713481
40932,99.01643203634919
40983,99.01643203634919
41034,76.43759458935763
41085,77.30439574172634
41136,99.01643203634919
41187,95.6340093263675
41238,81.47303495655382
41289,64.94533917249413
41340,95.86048076660853
41391,99.01643203634919
41442,99.01643203634919
41493,99.01643203634919
41544,99.01643203634919
41595,99.01643203634919
41646,46.1609787129888
41697,99.01643203634919
41748,99.01643203634919
41799,99.01643203634919
41850,99.01643203634919
41901,90.83204097883004
41952,76.41859087226388
42003,82.62485275125034
42054,76.11763330508853
42105,99.01643203634919
42156,99.01643203634919
42207,99.01643203634919
42258,48.855854591908525
42309,49.50100330678176
42360,77.54178034128105
42411,54.0127548997502
42462,99.01643203634919
42513,99.01643203634919
42564,75.51700246680643
42615,47.482260957884804
42666,80.53529720812723
42717,99.01643203634919
42768,80.30250827142021
42819,99.01643203634919
42870,99.01643203634919
42921,40.742990824549786
42972,99.01643203634919
43023,99.01643203634919
