,effective_capacity_MW_end
13545,58.587572872677036
13596,99.01643203634919
13647,42.48154242655613
13698,99.01643203634919
13749,86.95260932972899
13800,83.84734798605406
13851,99.01643203634919
13902,99.01643203634919
13953,84.3334767328698
14004,79.94764863212148
14055,86.74849913189496
14106,49.27125712931678
14157,46.456049470093035
14208,48.340021680561186
14259,99.01643203634919
14310,99.01643203634919
14361,82.34787934386114
14412,99.01643203634919
14463,84.15271304386891
14514,37.94270905303058
14565,99.01643203634919
14616,97.1181761221719
14667,85.02177727891242
14718,99.01643203634919
14769,76.65676097858417
14820,72.66598247944478
14871,99.01643203634919
14922,99.01643203634919
14973,84.10252666889173
15024,93.99837667141581
15075,30.530187379278765
15126,99.01643203634919
15177,99.01643203634919
15228,50.4419150257021
15279,99.01643203634919
15330,99.01643203634919
15381,99.01643203634919
15432,99.01643203634919
15483,99.01643203634919
15534,69.83772319220783
15585,99.01643203634919
15636,99.01643203634919
15687,99.01643203634919
15738,99.01643203634919
15789,99.01643203634919
15840,77.29768393572328
15891,87.03522802312014
15942,88.27651576478318
15993,99.01643203634919
16044,89.64507142810288
16095,99.01643203634919
16146,27.943169952199053
16197,93.25506592829174
16248,99.01643203634919
16299,99.01643203634919
16350,86.17159726445388
16401,99.01643203634919
16452,99.01643203634919
16503,99.01643203634919
16554,86.81100847003992
16605,99.01643203634919
16656,72.72395600855816
16707,26.469235199591154
16758,29.868494158259153
16809,33.63058850729312
16860,38.41052226280279
16911,72.87188958785731
16962,88.10299112098471
17013,99.01643203634919
17064,66.8329611936078
17115,99.01643203634919
17166,83.35093864356806
17217,99.01643203634919
17268,88.98223603230691
17319,99.01643203634919
17370,36.55132349420273
17421,66.16337801205479
17472,99.01643203634919
17523,26.41070391566648
17574,86.95275206445915
17625,67.62820369776361
17676,39.446433879710916
17727,99.01643203634919
17778,54.37258626960935
17829,99.01643203634919
17880,54.946802093687076
17931,84.84500904920814
17982,99.01643203634919
18033,43.88874290760244
18084,91.83212456467504
18135,73.33844751704596
18186,99.01643203634919
18237,99.01643203634919
18288,62.89928164883169
18339,61.41702899375285
18390,60.593260630559605
18441,69.76720516060067
18492,88.19568815560564
18543,73.25243882523934
18594,99.01643203634919
18645,99.01643203634919
18696,80.22342442729973
18747,94.82399637497734
18798,79.2730305729973
18849,99.01643203634919
18900,71.17474264545145
18951,99.01643203634919
19002,37.984844303772235
19053,71.35160316204177
19104,99.01643203634919
19155,72.06484380615967
19206,99.01643203634919
19257,99.01643203634919
19308,20.083753957188826
19359,32.552340160358675
19410,99.01643203634919
19461,75.07456236755593
19512,83.38952033595451
19563,79.75145946745592
19614,43.94238119102576
19665,88.77418196467478
19716,99.01643203634919
19767,93.90891782753766
19818,99.01643203634919
19869,72.35430778337863
19920,99.01643203634919
19971,82.39621288615008
20022,79.34966706743472
20073,87.47170409294564
20124,99.01643203634919
20175,99.01643203634919
20226,86.56412296758869
20277,99.01643203634919
20328,90.9858598487679
20379,31.89743451887595
20430,99.01643203634919
20481,99.01643203634919
20532,34.024468167556456
20583,81.99576998691128
20634,99.01643203634919
20685,81.4762270434003
20736,99.01643203634919
20787,70.01231874879095
20838,28.08381191959374
20889,75.55676483595933
20940,66.08564863403646
20991,99.01643203634919
21042,99.01643203634919
21093,81.24692725123542
21144,99.01643203634919
21195,93.40655630135603
21246,68.71728819004358
21297,73.49391509392863
21348,99.01643203634919
21399,73.65855341586376
21450,91.78048921139501
21501,99.01643203634919
21552,78.81210811443101
21603,99.01643203634919
21654,95.36555227053256
21705,35.28762837844767
21756,99.01643203634919
21807,99.01643203634919
21858,77.2066834989933
21909,99.01643203634919
21960,90.16462919888794
22011,19.057467115152846
22062,15.754785910386508
22113,99.01643203634919
22164,96.06089150767944
22215,45.57878772264719
22266,87.32456281645457
22317,22.173308653677925
22368,76.8818866177774
22419,24.590750069354087
22470,99.01643203634919
22521,99.01643203634919
22572,78.54570906948513
22623,55.909637928476386
22674,59.34023086072096
22725,99.01643203634919
22776,51.64615502648183
22827,83.84880843588228
22878,99.01643203634919
22929,99.01643203634919
22980,99.01643203634919
23031,62.79714880917079
23082,68.56581210633388
23133,99.01643203634919
23184,59.46749407879834
23235,99.01643203634919
23286,30.72503745138982
23337,41.88216788155268
23388,78.14473543818822
23439,99.01643203634919
23490,99.01643203634919
23541,62.31353089052268
23592,99.01643203634919
23643,78.91376603926128
23694,99.01643203634919
23745,99.01643203634919
23796,99.01643203634919
23847,42.04408242496795
23898,72.34773096823099
23949,99.01643203634919
24000,99.01643203634919
24051,99.01643203634919
24102,99.01643203634919
24153,99.01643203634919
24204,28.416710008852778
24255,77.83807614441992
24306,99.01643203634919
24357,75.87935058037063
24408,82.04733887954974
24459,66.17964657822128
24510,66.06579853194037
24561,91.12029850330684
24612,46.66587225111696
24663,99.01643203634919
24714,99.01643203634919
24765,99.01643203634919
24816,67.46917664060376
24867,65.67847602326498
24918,61.06325106443458
24969,99.01643203634919
25020,99.01643203634919
25071,71.89620065072938
25122,99.01643203634919
25173,99.01643203634919
25224,99.01643203634919
25275,99.01643203634919
25326,99.01643203634919
25377,79.89329445668419
25428,56.716066991987645
25479,99.01643203634919
25530,75.35530707966552
25581,12.083186995771134
25632,82.88082027988953
25683,99.01643203634919
25734,80.56219136478461
25785,80.5228780493495
25836,70.99856183996961
25887,82.50427294310144
25938,56.058239475817416
25989,33.1834012198161
26040,99.01643203634919
26091,86.46864929467874
26142,99.01643203634919
26193,99.01643203634919
26244,72.68357105693441
26295,99.01643203634919
26346,79.69500468448065
26397,89.43118227147589
26448,99.01643203634919
26499,99.01643203634919
26550,99.01643203634919
26601,99.01643203634919
26652,66.07692283620544
26703,6.603757553261088
26754,51.3823184729538
26805,41.85144899332581
26856,99.01643203634919
26907,63.14181981878742
26958,35.10207267550908
27009,99.01643203634919
27060,72.03683344431853
27111,45.842871621671975
27162,62.95103148651304
27213,99.01643203634919
27264,91.95555195789547
27315,61.97996648237466
27366,31.917453977566655
27417,64.29539255432879
27468,99.01643203634919
27519,75.07142342834538
27570,33.04298755512772
27621,74.78173748995576
27672,29.713380657886976
